Volume,Risk_Weight,Max_Share,Min_Supplier,Model,Cost_Imp,Emission_Imp,Deforestation_Imp,CII,NSG
50000,0.0,0.3,3,Cost_Only,0.2484077208050227,0.7296371577290899,0.8697724090336106,0.9173419931378134,0.8473996927896948
50000,0.0,0.3,3,Static_Entropy,0.055125352440886,0.9803593518738988,0.998008502762922,1.104959119321974,0.9951908032470221
50000,0.0,0.3,3,FCM_Only,0.0186664008416358,-0.0938165873221459,-0.3346806610003007,-0.3329954919278847,-0.2962264957164942
50000,0.0,0.3,3,NSGA_Only,0.0571956429392309,0.2961409179115636,0.5414870277119901,0.5542926776871536,0.502317302011976
50000,0.0,0.3,3,FCM_NSGA,-0.0377477083274681,-0.0440315598942914,0.0481699996428396,0.041763450074171066,0.03344993774274186
50000,0.0,0.3,3,Full_Hybrid,0.0186664008416358,-0.0938165873221459,-0.3346806610003007,-0.3329954919278847,-0.2962264957164942
50000,0.0,0.3,5,Cost_Only,0.2484077208050227,0.7296371577290899,0.8697724090336106,0.9173419931378134,0.8473996927896948
50000,0.0,0.3,5,Static_Entropy,0.055125352440886,0.9803593518738988,0.998008502762922,1.104959119321974,0.9951908032470221
50000,0.0,0.3,5,FCM_Only,0.0186664008416358,-0.0938165873221459,-0.3346806610003007,-0.3329954919278847,-0.2962264957164942
50000,0.0,0.3,5,NSGA_Only,0.0571956429392309,0.2961409179115636,0.5414870277119901,0.5542926776871536,0.502317302011976
50000,0.0,0.3,5,FCM_NSGA,-0.0377477083274681,-0.0440315598942914,0.0481699996428396,0.041763450074171066,0.03344993774274186
50000,0.0,0.3,5,Full_Hybrid,0.0189579958387278,-0.0929316568199739,-0.3306571616607716,-0.3290958147596744,-0.2927040717065247
50000,0.0,0.3,7,Cost_Only,0.2484077208050227,0.7296371577290899,0.8697724090336106,0.9173419931378134,0.8473996927896948
50000,0.0,0.3,7,Static_Entropy,0.055125352440886,0.9803593518738988,0.998008502762922,1.104959119321974,0.9951908032470221
50000,0.0,0.3,7,FCM_Only,0.0186664008416358,-0.0938165873221459,-0.3346806610003007,-0.3329954919278847,-0.2962264957164942
50000,0.0,0.3,7,NSGA_Only,0.0571956429392309,0.2961409179115636,0.5414870277119901,0.5542926776871536,0.502317302011976
50000,0.0,0.3,7,FCM_NSGA,-0.0377477083274681,-0.0440315598942914,0.0481699996428396,0.041763450074171066,0.03344993774274186
50000,0.0,0.3,7,Full_Hybrid,0.0215237630344613,-0.0863061785127157,-0.3237849842031168,-0.32176477675679394,-0.2858712799676176
50000,0.0,0.3,9,Cost_Only,0.2484077208050227,0.7296371577290899,0.8697724090336106,0.9173419931378134,0.8473996927896948
50000,0.0,0.3,9,Static_Entropy,0.055125352440886,0.9803593518738988,0.998008502762922,1.104959119321974,0.9951908032470221
50000,0.0,0.3,9,FCM_Only,0.0186664008416358,-0.0938165873221459,-0.3346806610003007,-0.3329954919278847,-0.2962264957164942
50000,0.0,0.3,9,NSGA_Only,0.0571956429392309,0.2961409179115636,0.5414870277119901,0.5542926776871536,0.502317302011976
50000,0.0,0.3,9,FCM_NSGA,-0.0377477083274681,-0.0440315598942914,0.0481699996428396,0.041763450074171066,0.03344993774274186
50000,0.0,0.3,9,Full_Hybrid,0.0222069473242359,-0.0828912262421611,-0.3283216005889631,-0.32549318443731745,-0.2891384212676283
50000,0.0,0.3,11,Cost_Only,0.2484077208050227,0.7296371577290899,0.8697724090336106,0.9173419931378134,0.8473996927896948
50000,0.0,0.3,11,Static_Entropy,0.055125352440886,0.9803593518738988,0.998008502762922,1.104959119321974,0.9951908032470221
50000,0.0,0.3,11,FCM_Only,0.0186664008416358,-0.0938165873221459,-0.3346806610003007,-0.3329954919278847,-0.2962264957164942
50000,0.0,0.3,11,NSGA_Only,0.0571956429392309,0.2961409179115636,0.5414870277119901,0.5542926776871536,0.502317302011976
50000,0.0,0.3,11,FCM_NSGA,-0.0377477083274681,-0.0440315598942914,0.0481699996428396,0.041763450074171066,0.03344993774274186
50000,0.0,0.3,11,Full_Hybrid,0.0227358058431685,-0.0895179626645913,-0.3340978211824509,-0.3321572690233753,-0.2950504274988401
50000,0.0,0.4,3,Cost_Only,0.2628522828852972,0.7831069707593328,0.9570856814915436,1.007129857534086,0.9293098267455348
50000,0.0,0.4,3,Static_Entropy,0.0584700607323346,0.9961366096271222,0.9996181770479196,1.1088921776706644,0.9990623450041497
50000,0.0,0.4,3,FCM_Only,0.0414512808726208,-0.1432982820543991,-0.5611327118806176,-0.5569975697813442,-0.4944250705289776
50000,0.0,0.4,3,NSGA_Only,0.0256154795865278,0.1753038041662093,0.3885405282773581,0.3928995067450132,0.35449709442578703
50000,0.0,0.4,3,FCM_NSGA,-0.0056733506950089,0.1788792709570147,0.5701487732478481,0.567625072236148,0.507682246544291
50000,0.0,0.4,3,Full_Hybrid,0.0414512808726208,-0.1432982820543991,-0.5611327118806176,-0.5569975697813442,-0.4944250705289776
50000,0.0,0.4,5,Cost_Only,0.2628522828852972,0.7831069707593328,0.9570856814915436,1.007129857534086,0.9293098267455348
50000,0.0,0.4,5,Static_Entropy,0.0584700607323346,0.9961366096271222,0.9996181770479196,1.1088921776706644,0.9990623450041497
50000,0.0,0.4,5,FCM_Only,0.0414512808726208,-0.1432982820543991,-0.5611327118806176,-0.5569975697813442,-0.4944250705289776
50000,0.0,0.4,5,NSGA_Only,0.0256154795865278,0.1753038041662093,0.3885405282773581,0.3928995067450132,0.35449709442578703
